Id,Title,UrlLink,Author,Keywords,CreatedAt,Hidden,PerformanceOnly
26,"Fleming Takes Leave ",https://jpatrickford.me/2017/05/09/fleming-takes-leave/,"Opera Scene ",NULL,2017-05-16 00:00:00.000,0,0
27,BWW Previews: San Diego Opera Announces 2017-18 Season,http://www.broadwayworld.com/bwwopera/article/BWW-Previews-San-Diego-Opera-Announces-2017-18-Season-20170502#,Broadway World,NULL,2017-05-03 00:00:00.000,0,0
28,"San Diego Opera Announces 2017-18 Season ",http://www.laopus.com/2017/05/photo-jeff-roffman-atlanta-opera.html?m=1,LA Opus,NULL,2017-05-02 00:00:00.000,0,0
29,"Review: Glamorous, Art Deco ‘La Traviata’ Caps San Diego Opera’s 52nd Season",http://timesofsandiego.com/arts/2017/04/26/glamorous-art-deco-la-traviata-caps-san-diego-operas-52nd-season/,Times of San Diego,la_traviata,2017-04-27 00:00:00.000,0,0
30,Review: Fine Traviata Completes SDO Season,http://www.operatoday.com/content/2017/04/fine_traviata_c.php,Opera Today,la_traviata,2017-04-25 00:00:00.000,0,0
31,Review: Soprano Corinne Winters Soars Magnificently in San Diego Opera’s ‘La Traviata,http://www.sandiegostory.com/soprano-corinne-winters-soars-magnificently-in-san-diego-operas-la-traviata/,"San Diego Story ",la_traviata,2017-04-24 00:00:00.000,0,0
32,Review:  Charming art-deco 'La Traviata' closes San Diego Opera's 52nd season,http://www.sandiegouniontribune.com/entertainment/theater/sd-me-review-opera-traviata-20170423-story.html,San Diego Union Tribune,la_traviata,2017-04-23 00:00:00.000,0,0
33,San Diego Opera's new season: It's all about diversity and new venue,http://www.sandiegouniontribune.com/communities/north-county/sd-et-opera-season-preview-20170423-story.html,San Diego Union Tribune,NULL,2017-04-23 00:00:00.000,0,0
34,‘Pirates of Penzance’ Will Open San Diego Opera’s 2017-18 Season,https://timesofsandiego.com/arts/2017/04/23/pirates-of-penzance-will-open-san-diego-operas-2017-18-season/,Times of San Diego,NULL,2017-04-23 00:00:00.000,0,0
35,San Diego Opera Announces 2017-2018 Season,http://lgbtweekly.com/2017/04/23/san-diego-opera-announces-2017-2018-season/,LGBT Weekly,NULL,2017-04-23 00:00:00.000,0,0
36,San Diego Opera Stages A Roaring ‘20s ‘La Traviata’,http://www.kpbs.org/news/2017/apr/21/san-diego-opera-stages-roaring-20s-la-traviata/,KPBS,la_traviata,2017-04-21 00:00:00.000,0,0
37,Verdi's La Traviata,http://www.kusi.com/clip/13265663/verdis-la-traviata,KUSI News,"la_traviata ",2017-04-20 00:00:00.000,0,0
38,Traviata in the Roaring 20's,https://jpatrickford.me/2017/04/17/traviata-in-the-roaring-20s/,"Opera Scene ","La_traviata ",2017-04-18 00:00:00.000,0,0
39,Temptations of a Rising Tenor: Jesús Garcia Tells All,http://www.sandiegostory.com/temptations-of-a-rising-tenor-jesus-garcia-tells-all/,San Diego Story,"La_traviata ",2017-04-17 00:00:00.000,0,0
40,'La Traviata' opera gets an art-deco twist,http://www.sandiegouniontribune.com/entertainment/classical-music/sd-et-preview-latraviata-20170416-story.html,San Diego Union Tribune,"La_traviata ",2017-04-16 00:00:00.000,0,0
41,Open House San Diego: A free architectural 'mystery tour',http://www.sandiegouniontribune.com/business/growth-development/sd-fi-openhouse-20170317-story.html,San Diego Union Tribune,NULL,2017-03-21 00:00:00.000,0,0
42,Review: La Tragédie de Carmen at San Diego,http://www.operatoday.com/content/2017/03/la_tragedie_de_.php,OperaToday,The_Tragedy_Of_Carmen,2017-03-15 00:00:00.000,0,0
43,"Review: A Sexed-Up, Slimmed-Down ‘Carmen’ at San Diego Opera",https://timesofsandiego.com/arts/2017/03/13/sexed-slimmed-carmen/,Times of San Diego,"The_Tragedy_Of_Carmen ",2017-03-14 00:00:00.000,0,0
44,Review: San Diego Opera’s Street-smart and Vocally Compelling ‘Carmen’ Adaptation by Peter Brook,http://www.sandiegostory.com/san-diego-operas-street-smart-and-vocally-compelling-carmen-adaptation-by-peter-brook/,"San Diego Story ",The_Tragedy_Of_Carmen,2017-03-12 00:00:00.000,0,0
45,Review: The Tragedy of Carmen Special,http://charleneandbrendaintheblogosphere.blogspot.com/2017/03/the-tragedy-of-carmen-special.html,Charlene and Brenda in the Blogosphere,The_Tragedy_of_Carmen,2017-03-12 00:00:00.000,0,0
46,"Review: The Tragedy of Carmen Delivers the Unexpected ",http://www.sandiegouniontribune.com/entertainment/theater/sd-me-review-opera-carmen-20170311-story.html,San Diego Union Tribune,"The_Tragedy_Of_Carmen ",2017-03-11 00:00:00.000,0,0
47,Review: Regietheater Meets Regietheater in Gedeon/Brook ‘La tragédie de Carmen’ at San Diego Opera,http://www.operawest.com/san-diego-opera-presents-peter-brooks-la-tragedie-de-carmen-by-peter-brook/,OperaWest,The_Tragedy_Of_Carmen,2017-03-11 00:00:00.000,0,0
48,"Carmen gets a modern makeover at San Diego Opera ",http://www.kpbs.org/news/2017/mar/09/carmen-gets-modern-makeover-san-diego-opera/,KPBS,The_Tragedy_of_Carmen,2017-03-10 00:00:00.000,0,0
49,Distilling The Tragedy of Carmen,http://www.sandiegouniontribune.com/entertainment/theater/92714253-132.html,San Diego Union Tribune,The_Tragedy_Of_Carmen,2017-03-10 00:00:00.000,0,0
50,Our top picks for things to do this week - The Tragedy of Carmen,http://sdcitybeat.com/upcoming-events/short-list-event-picks/the-tragedy-of-carmen/,San Diego CityBeat,The_Tragedy_Of_Carmen,2017-03-09 00:00:00.000,0,0
51,The Tragedy of Carmen at San Diego Opera This Weekend,http://www.kusi.com/clip/13164394/tragedy-of-carmen-at-san-diego-opera-this-weekend,KUSI,The_Tragedy_of_Carmen,2017-03-09 00:00:00.000,0,0
52,"'Tragedy of Carmen' plumbs opera's dark, sexy roots",http://www.sandiegouniontribune.com/entertainment/theater/sd-et-preview-carmen-20170304-story.html,"San Diego Union Tribune ",The_Tragedy_Of_Carmen,2017-03-05 00:00:00.000,0,0
53,San Diego Opera Presents the ‘Carmen’ You Haven’t Seen,http://www.sandiegostory.com/san-diego-opera-presents-the-carmen-you-havent-seen/,San Diego Story,The_Tragedy_Of_Carmen,2017-03-03 00:00:00.000,0,0
54,A collective view of Verdi's comic opera Falstaff,http://www.urbansketchers.org/2017/02/a-collective-view-of-verdis-comic-opera.html,Urban Sketchers,Falstaff,2017-02-28 00:00:00.000,0,0
55,Review: A Merry Falstaff in San Diego,http://www.operatoday.com/content/2017/02/a_merry_falstaf.php,OperaToday,Falstaff,2017-02-26 00:00:00.000,0,0
56,Review: Falstaff overreaches,http://www.concertonet.com/scripts/review.php?ID_review=12149,"ConcertoNet ",Falstaff,2017-02-23 00:00:00.000,0,0
57,Review: San Diego Opera's FALSTAFF a Moveable Feast,http://www.broadwayworld.com/bwwopera/article/BWW-Review-San-Diego-Operas-FALSTAFF-a-Moveable-Feast-20170220,Broadway World,"Review ",2017-02-20 00:00:00.000,0,0
58,Review: Verdi’s ‘Falstaff’ is a winner for San Diego Opera,http://www.operawest.com/verdis-falstaff-is-a-winner-for-san-diego-opera/,Opera West,Falstaff,2017-02-20 00:00:00.000,0,0
59,Review: San Diego Opera’s ‘Falstaff’–Worth Its Weight in Vocal Splendor,http://www.sandiegostory.com/san-diego-operas-falstaff-worth-its-weight-in-vocal-splendor/,"San Diego Story ",Falstaff,2017-02-20 00:00:00.000,0,0
60,Mischief and scheming at the opera,http://gay-sd.com/mischief-and-scheming-at-the-opera/,sdCNN,Falstaff,2017-02-20 00:00:00.000,0,0
61,"Review: A Fun-filled, Fast-paced, Finely Cast “Falstaff” – San Diego Opera, February 18, 2017",http://www.operawarhorses.com/2017/02/19/review-a-fun-filled-fast-paced-finely-cast-falstaff-san-diego-opera-february-18-2017/,Operawarhorses,"Falstaff ",2017-02-20 00:00:00.000,0,0
62,"Review: San Diego Opera's Funny FALSTAFF Pleases Eyes and Ears ",http://www.sandiegouniontribune.com/entertainment/theater/sd-me-review-falstaff-20170215-story.html,San Diego Union Tribune,Falstaff,2017-02-19 00:00:00.000,0,0
63,Opera Scene - THE TRAGEDY OF CARMEN,https://jpatrickford.me/2017/01/26/opera-scene-carmen/,"Observations by J. Patrick Ford ",The Tragedy of Carmen,2017-02-19 00:00:00.000,0,0
64,Larger Than Life ‘Falstaff’ Takes Center Stage At San Diego Opera,http://www.kpbs.org/news/2017/feb/17/larger-life-falstaff-takes-center-stage-san-diego-/,KPBS,Falstaff,2017-02-17 00:00:00.000,0,0
65,"Falstaff at San Diego Opera ",http://www.kusi.com/clip/13117642/falstaff-at-san-diego-opera,KUSI,Falstaff,2017-02-17 00:00:00.000,0,0
66,Soprano Ellie Dehn Returns to San Diego Opera’s ‘Falstaff’,http://www.sandiegostory.com/soprano-ellie-dehn-returns-to-san-diego-operas-falstaff/,"San Diego Story ","Falstaff ",2017-02-13 00:00:00.000,0,0
67,"'Falstaff' opera promises laughs with an edge ",http://www.sandiegouniontribune.com/entertainment/theater/sd-et-falstaff-preview-20170201-story.html,"San Diego Union Tribune ","Falstaff ",2017-02-12 00:00:00.000,0,0
68,"San Diego Opera reports deficit, future plans ",http://www.sandiegouniontribune.com/communities/north-county/sd-me-opera-audit-20170208-story.html,San Diego Union Tribune,NULL,2017-02-09 00:00:00.000,0,0
69,What Happens To San Diego Institutions If Trump Guts Federal Arts Funding?,http://www.kpbs.org/news/2017/jan/30/news-numbers-what-happens-san-diego-institutions-i/,KPBS,NULL,2017-01-31 00:00:00.000,0,0
70,Mezzo-Soprano Marianne Cornetti Swings for the Fences,http://www.broadwayworld.com/bwwopera/article/BWW-Interview-Mezzo-Soprano-Marianne-Cornetti-Swings-for-the-Fences-20170131,"Broadway World ",Falstaff,2017-01-31 00:00:00.000,0,0
71,MERRY WIVES TURN THE TABLES ON FALSTAFF,https://jpatrickford.me/2016/10/13/falstaff/,OperaScene by J. Patrick Ford,NULL,2017-01-26 00:00:00.000,0,0
72,OPERA America Announces 2017 National Opera Trustee Award Recipients,http://www.broadwayworld.com/bwwopera/article/OPERA-America-Announces-2017-National-Opera-Trustee-Award-Recipients-20170124,Broadway World,NULL,2017-01-25 00:00:00.000,0,0
73,San Diego Opera: Resurrected — and Connected,https://medium.com/@OPERAAmerica/san-diego-opera-resurrected-and-connected-f58f20c2f03b#.m7kb9va13,"OperaAmerica ",NULL,2017-01-18 00:00:00.000,0,0
74,Time Travel Therapy,https://www.theatlantic.com/magazine/archive/2017/01/time-travel-therapy/508787/,"The Atlantic Monthly ",NULL,2016-12-12 00:00:00.000,0,0
75,"Review: Courageous multimedia opera “Soldier Songs” impresses in San Diego ",http://www.peoplesworld.org/article/courageous-multimedia-opera-soldier-songs-impresses-in-san-diego/,"People's World ",Solider-Songs,2016-11-18 00:00:00.000,0,0
76,Review: San Diego Opera’s Searing ‘Soldier Songs’ Brings Military Reality to Stage,http://www.sandiegostory.com/san-diego-operas-searing-soldier-songs-brings-military-reality-to-stage/,San Diego Story,Solider-Songs,2016-11-12 00:00:00.000,0,0
77,"Review: Stunning 'Soldier Songs' a visceral war diary ",http://www.sandiegouniontribune.com/entertainment/theater/sd-me-review-opera-20161110-story.html,San Diego Union Tribune,"Solider-Songs ",2016-11-12 00:00:00.000,0,0
78,Celebrate Veterans Day With San Diego Opera’s ‘Soldier Songs’,http://www.kpbs.org/news/2016/nov/11/celebrate-veterans-day-soldier-songs/,KPBS,Solider-Songs,2016-11-11 00:00:00.000,0,0
79,San Diego Opera's Soldier Songs Opens at the Balboa Theater This Weekend,http://www.kusi.com/clip/12891829/san-diego-operas-soldier-songs-at-balboa-theater-this-weekend,"KUSI ",Soldier-Songs,2016-11-10 00:00:00.000,0,0
80,"Review: Sparkling, Over-the-top 'Cinderella' Opens San Diego Opera Season",http://www.sandiegostory.com/sparkling-over-the-top-cinderella-opens-san-diego-opera-season/,"San Diego Story ","Cinderella ",2016-10-25 00:00:00.000,0,0
81,Review: Light on dramma...heavy on giocoso,http://www.concertonet.com/scripts/review.php?ID_review=11856,Concertonet,"Cinderella ",2016-10-24 00:00:00.000,0,0
82,"Review: San Diego Opera's 'Cinderella' has many hits, but one major miss ",http://www.sandiegouniontribune.com/entertainment/theater/sd-me-review-opera-20161020-story.html,San Diego Union Tribune,Cinderella,2016-10-23 00:00:00.000,0,0
83,San Diego Opera’s ‘Cinderella’ Is Darker But Still Charming,http://www.kusi.com/clip/12846199/the-grand-opening-of-san-diego-opera-with-cinderella,KPBS,Cinderella,2016-10-21 00:00:00.000,0,0
84," The grand opening of San Diego Opera with 'Cinderella'",http://www.kusi.com/clip/12846199/the-grand-opening-of-san-diego-opera-with-cinderella,"KUSI News ",Cinderella,2016-10-21 00:00:00.000,0,0
85,San Diego Opera’s ‘Cinderella’ Is More Than a Cute Fairy Tale,http://www.sandiegostory.com/san-diego-operas-cinderella-is-more-than-a-cute-fairy-tale/,San Diego Story,"Cinderella ",2016-10-17 00:00:00.000,0,0
86,"'Cinderella' opera gets an American twist ",http://www.sandiegouniontribune.com/communities/north-county/sd-et-classical-cinderella-20161004-story.html,San Diego Union Tribune,"Cinderella ",2016-10-16 00:00:00.000,0,0
87,VETERANS NEED SUPPORT,https://jpatrickford.me/2016/10/12/veterans-need-support/,Observations by J. Patrick Ford,Soldier-Songs,2016-10-12 00:00:00.000,0,0
88," More than what’s on stage - A visit with San Diego Opera's general director ",http://sduptownnews.com/more-than-whats-on-stage/,San Diego Uptown News,NULL,2016-10-07 00:00:00.000,0,0
89,Mini-city being built for dementia and Alzheimer's patients,http://www.10news.com/news/mini-city-being-built-for-dementia-and-alzheimers-patients,"KGTC Channel 10 News ",NULL,2016-10-03 00:00:00.000,0,0
90,"San Diego schools to expand performing arts, music programs",http://fox5sandiego.com/2016/10/03/san-diego-schools-to-expand-performing-arts-music-programs/,Fox 5,NULL,2016-10-03 00:00:00.000,0,0
91,Alzheimer's patients to time-travel in Chula Vista,http://m.sandiegoreader.com/news/2016/oct/01/stringers-alzheimers-patients-day-care-chula-vista/,"San Diego Reader ",NULL,2016-10-02 00:00:00.000,0,0
92,The Sound and Fury of War,http://sdjewishjournal.com/sdjj/pat-launer/the-sound-and-fury-of-war/,San Diego Jewish Journal,Soldier Songs,2016-09-30 00:00:00.000,0,0
93,San Diego Opera Engages Military Community in Presentation of New Opera ‘Soldier Songs’,http://www.sandiegostory.com/san-diego-opera-engages-military-community-in-presentation-of-new-opera-soldier-songs/,"San Diego Story ",Soldier-Songs,2016-09-24 00:00:00.000,0,0
94," San Diego Opera Debuts Performance Dedicated To Veterans",http://www.kpbs.org/news/2016/sep/21/san-diego-opera-debuts-performance-dedicated-veter/,KPBS,NULL,2016-09-22 00:00:00.000,0,0
95,"Opera, veteran groups form unusual bond",http://www.sandiegouniontribune.com/news/sd-no-opera-veterans-20160916-story.html,San Diego Union Tribune,Soldier-Songs,2016-09-22 00:00:00.000,0,0
96,ROSSINI SETS CINDERELLA TO MUSIC,https://jpatrickford.me/2016/09/16/rossini-sets-cinderella-to-misic/,Observations by J. Patrick Ford,Cinderella,2016-09-21 00:00:00.000,0,0
97,"Review - San Diego Opera Opens with Recital by Piotr Beczala ",http://www.operatoday.com/content/2016/09/renowned_polish.php,"Opera Today ",NULL,2016-09-21 00:00:00.000,0,0
98,"Review - Tenor Beczala note-perfect in opera season kickoff ",http://www.sandiegouniontribune.com/entertainment/sd-me-review-beczala-20160916-story.html,San Diego Union Tribune,NULL,2016-09-19 00:00:00.000,0,0
99,Review - Tenor Piotr Beczala’s Thrilling Recital Opens San Diego Opera’s New Season,http://www.sandiegostory.com/tenor-piotr-beczalas-thrilling-recital-opens-san-diego-operas-new-season/,San Diego Story,NULL,2016-09-18 00:00:00.000,0,0
100,How Throwback Model Towns Could Help Alzheimer's Patients,http://www.citylab.com/tech/2016/09/how-a-fake-1950s-san-diego-town-could-help-alzheimers-patients-reminiscence-therapy/500159/,CityLab / The Atlantic,NULL,2016-09-16 00:00:00.000,0,0
101,Replicating a Memory: ‘Faux City’ Provides Reminiscence Therapy for People with Alzheimer’s,https://nonprofitquarterly.org/2016/09/12/replicating-a-memory-faux-city-provides-reminiscence-therapy-for-people-with-alzheimers/,NonProfit Quarterly,NULL,2016-09-12 00:00:00.000,0,0
102,Top-flight tenor Beczala’s back in town,http://www.sandiegouniontribune.com/news/2016/sep/09/piotr-beczala-opera-recital-preview/,San Diego Union Tribune,NULL,2016-09-09 00:00:00.000,0,0
103,"Special ""city"" could help Alzheimer's patients ",http://www.cbs8.com/story/33062085/special-city-could-help-alzheimers-patients,KFMB Channel 8,NULL,2016-09-09 00:00:00.000,0,0
104,Faux city for Alzheimer’s patients takes shape,http://www.sandiegouniontribune.com/news/2016/sep/08/glenner-center-town-square-san-diego-opera/,San Diego Union Tribune,NULL,2016-09-08 00:00:00.000,0,0
105,50s recreated: Alzheimer’s center to help patients take stroll down memory lane,http://www.cw6sandiego.com/alzheimers-center-help-patients-take-stroll-memory-lane/,CW6,NULL,2016-09-08 00:00:00.000,0,0
106,Opera Season Opens,https://jpatrickford.me/2016/09/06/opera-season-opens/,Observations by J. Patrick Ford,NULL,2016-09-07 00:00:00.000,0,0
107,Culture Report: The San Diego Opera’s New Track,http://www.voiceofsandiego.org/topics/arts/culture-report-the-san-diego-operas-new-track/,Voice of San Diego,NULL,2016-09-06 00:00:00.000,0,0
108,SD Opera takes to the rails with 'Cinderella',http://www.sandiegouniontribune.com/news/2016/sep/01/opera-on-track/,San Diego Union Tribune,NULL,2016-09-04 00:00:00.000,0,0
109,Kids Steal Show as ‘Opera on Track’ Debuts in Santee,http://timesofsandiego.com/arts/2016/09/03/kids-steal-show-as-opera-on-track-debuts-in-santee/,"Times of San Diego ",NULL,2016-09-03 00:00:00.000,0,0
110,San Diego Opera begins building new adult day care center for those facing Alzheimer’s,http://lgbtweekly.com/2016/08/30/san-diego-opera-begins-building-new-adult-day-care-center-for-those-facing-alzheimers/,LGBT Weekly,NULL,2016-08-30 00:00:00.000,0,0
111,"Free, Mini Opera Performances of 'Cinderella' Headed to San Diego Trolley Stations",http://www.nbcsandiego.com/news/local/San-Diego-MTS-Opera-on-the-Tracks-Trolley-Station-2016-Performances-Cinderella-391181872.html,NBC 7/39,Opera on Track,2016-08-25 00:00:00.000,0,0
112,San Diego Opera coming to East County,http://www.eccalifornian.com/article/san-diego-opera-coming-east-county,The East County Californian,Opera on Track,2016-08-24 00:00:00.000,0,0
113,San Diego Opera to Perform ‘Cinderella’ for MTS Trolley Riders,http://timesofsandiego.com/arts/2016/08/16/san-diego-opera-to-perform-cinderella-for-mts-trolley-riders/,Times of San Diego,"Cinderella, Outreach",2016-08-16 00:00:00.000,0,0
114,San Diego Opera announces 2016-2017 ‘Community Conversations’,http://lgbtweekly.com/2016/08/07/san-diego-opera-announces-2016-2017-community-conversations/,LGBT Weekly,Outreach,2016-08-07 00:00:00.000,0,0
115,San Diego Opera’s David Bennett Enters Second Year As General Director,http://www.kpbs.org/news/2016/aug/01/san-diego-operas-david-bennett-enters-second-year-/,KPBS,David Bennett,2016-08-01 00:00:00.000,0,0
116,San Diego Opera to hit the rails,http://www.sandiegouniontribune.com/news/2016/jul/15/san-diego-opera-on-the-tracks/,San Diego Union Tribune,NULL,2016-07-15 00:00:00.000,0,0
117,OPERA SCENE – 2016 SEASON: A MIX OF LADIES IN DISTRESS,https://jpatrickford.me/2016/05/27/opera-scene/,"Opera Scene ",NULL,2016-05-27 00:00:00.000,0,0
118,Opera Announces New Season,http://sdjewishjournal.com/sdjj/uncategorized/opera-announces-new-season/,San Diego Jewish Journal,NULL,2016-05-27 00:00:00.000,0,0
119,Opera world opens the door to live-tweeting,http://www.sfchronicle.com/music/article/Opera-world-opens-the-door-to-live-tweeting-7948282.php#photo-10141761,San Francisco Chronicle,NULL,2016-05-26 00:00:00.000,0,0
120,NEA Awards Grants to 11 San Diego County Arts and Culture Groups,http://www.sandiegouniontribune.com/news/2016/may/19/nea-grants-may-2016/,San Diego Union-Tribune,NULL,2016-05-20 00:00:00.000,0,0
121,Review: Great Scott Wows San Diego,http://www.operatoday.com/content/2016/05/great_scott_wow.php,"Opera Today ",Great Scott,2016-05-14 00:00:00.000,0,0
122,San Diego Opera Receives $35K Grant for Music Education,http://timesofsandiego.com/arts/2016/05/10/san-diego-opera-receives-35k-grant-for-music-education/,"Times of San Diego ",Education,2016-05-11 00:00:00.000,0,0
123,REVIEW: Heggie's Great Scott wins big in San Diego,https://bachtrack.com/review-great-scott-heggie-san-diego-may-2016,Bachtrack,GreatScott,2016-05-10 00:00:00.000,0,0
124,"Review: ""Great Scott"" in San Diego: Opera is dead! Long live opera!",http://peoplesworld.org/great-scott-in-san-diego-opera-is-dead-long-live-opera/,People's World,GreatScott,2016-05-10 00:00:00.000,0,0
125,Review: Jake Heggie’s new opera Great Scott’ is Great fun.,http://www.examiner.com/review/jake-heggie-s-new-opera-great-scott-is-great-fun-1,San Diego Theatre Examiner,GreatScott,2016-05-10 00:00:00.000,0,0
126,"Review: 'Great Scott,' an opera about opera, shows what makes Jake Heggie so popular",http://www.latimes.com/entertainment/arts/la-et-cm-great-scott-review-20160506-snap-story.html,The Los Angeles Time,GreatScott,2016-05-09 00:00:00.000,0,0
127,‘Great Scott’ Gets West Coast Premiere At San Diego Opera,http://www.kpbs.org/news/2016/may/09/great-scott-gets-west-coast-premiere-san-diego-ope/,KPBS,GreatScott,2016-05-09 00:00:00.000,0,0
128,Review: San Diego Opera Opens ‘Great Scott’ — Jake Heggie’s Valentine to Singers,http://www.sandiegostory.com/san-diego-opera-opens-great-scott-jake-heggies-valentine-to-singers/,San Diego Story,GreatScott,2016-05-08 00:00:00.000,0,0
129,Review: San Diego Opera: “Great Scott” Has Its West Coast Premiere,http://www.operawest.com/san-diego-opera-great-scott-has-its-west-coast-premiere/,Opera West,GreatScott,2016-05-08 00:00:00.000,0,0
130,Review: Great Scott! It’s the West Coast Premiere at San Diego Opera,http://timesofsandiego.com/arts/2016/05/08/great-scott-its-the-west-coast-premiere-at-san-diego-opera/,Times of San Diego,GreatScott,2016-05-08 00:00:00.000,0,0
